client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment	code
LA_00001	00001.flac	Nào các bạn ơi	2	0	sixties	male		vi		bonafide
LA_00001	00002.flac	khi ấy mới là đáng sợ	2	0	sixties	male		vi		bonafide
LA_00001	00003.flac	Em cảm giác lạnh buốt đến tận não	2	0	sixties	male		vi		bonafide
LA_00001	00004.flac	Xong xuôi Trinh lấy ra những bánh kẹo mới nhất	2	0	sixties	male		vi		bonafide
LA_00001	00005.flac	Hà rợn hết cả người	2	0	sixties	male		vi		bonafide
LA_00001	00006.flac	Ai vừa nói vậy	2	0	sixties	male		vi		bonafide
LA_00001	00007.flac	Tuấn ngạc nhiên nhưng vẫn lên tiếng	2	0	sixties	male		vi		bonafide
LA_00001	00008.flac	tôi có một chuyến bay cuối tuần này	2	0	sixties	male		vi		bonafide
LA_00001	00009.flac	ba người vàotrong bệnh viện sẽ hỏi thăm phòng của Phương	2	1	sixties	male		vi		bonafide
LA_00001	00010.flac	Mẹ bảo cái thảo thân thiết với em	2	0	sixties	male		vi		bonafide
LA_00001	00011.flac	hơn nữa khách sỉ khách lẻ còn đặt cọc trước để lấy hàng	2	0	sixties	male		vi		bonafide
LA_00001	00012.flac	Sao em vừa mang nỗi niềm cúc tím	2	1	sixties	male		vi		bonafide
LA_00001	00013.flac	Hà Ni mới rút tay về	2	1	sixties	male		vi		bonafide
LA_00001	00014.flac	Mẹ còn dọn dẹp	2	1	sixties	male		vi		bonafide
LA_00001	00015.flac	Có những cái cây lâu năm	2	0	sixties	male		vi		bonafide
LA_00001	00016.flac	Hãy những cái đầu nằm lăn lóc ở dưới mặt đất	2	0	sixties	male		vi		bonafide
LA_00001	00017.flac	thảo bảo là ông nội nó có nói tướng chết yểu	2	0	sixties	male		vi		bonafide
LA_00001	00018.flac	Tự nhiên không đâu vào đâu lại sang nói chuyện này	2	0	sixties	male		vi		bonafide
LA_00001	00019.flac	nên muốn về nhà phải làm lễ rước vong về nhà	2	0	sixties	male		vi		bonafide
LA_00001	00020.flac	Bố của Thảo liền lắc đầu nói	2	0	sixties	male		vi		bonafide
LA_00001	00021.flac	Nơi có một chiếc vực sau nhà rồi hỏi	2	0	sixties	male		vi		bonafide
LA_00001	00022.flac	Mấy người thì đang nấu ăn gọi chúng tôi vào thưởng thức	2	0	sixties	male		vi		bonafide
LA_00001	00023.flac	Khóc nhiều cũng đến lúc đôi mắt của quân mệt mỏi	2	0	sixties	male		vi		bonafide
LA_00001	00024.flac	Chiếc xe của bộ em nó chạy bình thường	2	0	sixties	male		vi		bonafide
LA_00001	00025.flac	hôm sảy ra truyện, Trinh nhìn thấy bạn mình nằm trong gầm xe	2	1	sixties	male		vi		bonafide
LA_00001	00026.flac	Đã hơn mười một giờ đêm	2	0	sixties	male		vi		bonafide
LA_00001	00027.flac	tại sao lại thế cơ chứ	2	0	sixties	male		vi		bonafide
LA_00001	00028.flac	Hãy ở lại lập cái bản mà lấy chỗ sinh sống	2	0	sixties	male		vi		bonafide
LA_00001	00029.flac	Hôm nay Bé Na của mẹ ăn ngon thế	2	0	sixties	male		vi		bonafide
LA_00001	00030.flac	Thân hình thì toàn là những áo ngâm máu mà thôi	2	0	sixties	male		vi		bonafide
LA_00001	00031.flac	Nghe truyện thật là thú vị xin chân thành cảm ơn	2	0	sixties	male		vi		bonafide
LA_00001	00032.flac	Trầm ngâm thắc mắc	2	0	sixties	male		vi		bonafide
LA_00001	00033.flac	Được như trên cửa sổ	2	0	sixties	male		vi		bonafide
LA_00001	00034.flac	Họ sẽ ở nhà tiếp khách	2	0	sixties	male		vi		bonafide
LA_00001	00035.flac	Sợ anh ta không kiềm chế được nên hà ni phải giải thích	2	0	sixties	male		vi		bonafide
LA_00001	00036.flac	không những không chết	2	1	sixties	male		vi		bonafide
LA_00001	00037.flac	Nỗi trống trải se thắt hồn thiếu phụ	2	0	sixties	male		vi		bonafide
LA_00001	00038.flac	Chẳng hiểu sao lại bị như thế này	2	0	sixties	male		vi		bonafide
LA_00001	00039.flac	nơi thảo gặp tai nạn	2	0	sixties	male		vi		bonafide
LA_00001	00040.flac	Những lời mà Trinh nói rất đúng	2	0	sixties	male		vi		bonafide
LA_00001	00041.flac	Thu về cho cô không ít tiền bạc mối quan hệ tốt	2	0	sixties	male		vi		bonafide
LA_00001	00042.flac	Vô tình suốt cuộc đời	2	1	sixties	male		vi		bonafide
LA_00001	00043.flac	sợ là mọi người bảo chúng ta lừa đảo	2	0	sixties	male		vi		bonafide
LA_00001	00044.flac	Quái quỷ sao nó lại vội như là ma đuổi thế chứ	2	0	sixties	male		vi		bonafide
LA_00001	00045.flac	Vẫn là cái thảo đang đứng ở đó	2	0	sixties	male		vi		bonafide
LA_00001	00046.flac	thật à thế thì đúng rồi	2	0	sixties	male		vi		bonafide
LA_00001	00047.flac	Vậy phải xem số trời thế nào	2	1	sixties	male		vi		bonafide
LA_00001	00048.flac	Chứ không có đường như chúng tôi đã vào	2	0	sixties	male		vi		bonafide
LA_00001	00049.flac	Tại sao lại bắt cháu	2	0	sixties	male		vi		bonafide
LA_00001	00050.flac	Bà vội chạy theo và Gọi lớn	2	0	sixties	male		vi		bonafide
LA_00001	00051.flac	Trinh vội vàng bóc Bánh Kẹo	2	1	sixties	male		vi		bonafide
LA_00001	00052.flac	Bồn chồn không thể nào có thể ngủ được	2	1	sixties	male		vi		bonafide
LA_00001	00053.flac	tao nói nhầm	2	0	sixties	male		vi		bonafide
LA_00001	00054.flac	Lên núi đặt lờ	2	0	sixties	male		vi		bonafide
LA_00001	00055.flac	đang hớn hỏ vì nghĩ đây là cuộc gọi của Quân	2	0	sixties	male		vi		bonafide
LA_00001	00056.flac	ôi con ơi con mở mắt rồi sao	2	0	sixties	male		vi		bonafide
LA_00001	00057.flac	Some trai liền thắc mắc	2	0	sixties	male		vi		bonafide
LA_00001	00058.flac	Không phải	2	0	sixties	male		vi		bonafide
LA_00001	00059.flac	Như kể công cha	2	0	sixties	male		vi		bonafide
LA_00001	00060.flac	Âm nhạc	2	0	sixties	male		vi		bonafide
LA_00001	00061.flac	Chinh ngồi bật dậy	2	0	sixties	male		vi		bonafide
LA_00001	00062.flac	mày mau đi đi đi tìm cái ông công nông ấy tao sợ lắm	2	0	sixties	male		vi		bonafide
LA_00001	00063.flac	Nhưng con chỉ nhớ	2	0	sixties	male		vi		bonafide
LA_00001	00064.flac	thằng chơi bẩn	2	1	sixties	male		vi		bonafide
LA_00001	00065.flac	Khiến cho Tinh nổi da gà	2	0	sixties	male		vi		bonafide
LA_00001	00066.flac	cho nên mới be bát như vậy	2	0	sixties	male		vi		bonafide
LA_00001	00067.flac	bởi cơ thể của trinh lạnh toát	2	0	sixties	male		vi		bonafide
LA_00001	00068.flac	Khiến cho cả hai đứa giật mình	2	1	sixties	male		vi		bonafide
LA_00001	00069.flac	Cô bạn hốt hoảng rồi nói	2	0	sixties	male		vi		bonafide
LA_00001	00070.flac	Dạ Cháu không có ý đó cháu chỉ là	2	0	sixties	male		vi		bonafide
LA_00001	00071.flac	em sửng sốt nói	2	0	sixties	male		vi		bonafide
LA_00001	00072.flac	được	2	1	sixties	male		vi		bonafide
LA_00001	00073.flac	Tôi gần đây có thích một người đàn ông	2	0	sixties	male		vi		bonafide
LA_00001	00074.flac	Nhìn thấy rồi nhé	2	0	sixties	male		vi		bonafide
LA_00001	00075.flac	Có ngó qua họ hàng được tí nào đâu	2	0	sixties	male		vi		bonafide
LA_00001	00076.flac	hứa đi làm bạn với tao như xưa nhé	2	1	sixties	male		vi		bonafide
LA_00001	00077.flac	Câu chuyện có tựa đề là Ma ở vùng núi Tây Bắc	2	0	sixties	male		vi		bonafide
LA_00001	00078.flac	Hãy khắng khít những cặp môi gắn chặt	2	0	sixties	male		vi		bonafide
LA_00001	00079.flac	In bóng nhau vờn luân điệu vũ	2	0	sixties	male		vi		bonafide
LA_00001	00080.flac	Mẹ là bình minh	2	0	sixties	male		vi		bonafide
LA_00001	00081.flac	Tôi vẫn đi bên cạnh cuộc đời	2	0	sixties	male		vi		bonafide
LA_00001	00082.flac	Tôi nghe xong thì cảm ơn rối rít	2	0	sixties	male		vi		bonafide
LA_00001	00083.flac	hạ liền trả lời	2	0	sixties	male		vi		bonafide
LA_00001	00084.flac	Trinh vâng dạ đồng ý	2	0	sixties	male		vi		bonafide
LA_00001	00085.flac	cảm ơn rất nhiều	2	0	sixties	male		vi		bonafide
LA_00001	00086.flac	Còn khi không thấy anh tôi đã trở lại giường của mình để ngủ	2	0	sixties	male		vi		bonafide
LA_00001	00087.flac	mẹ thảo đáp	2	0	sixties	male		vi		bonafide
LA_00001	00088.flac	Bà bói không lấy làm lạ lắm	2	0	sixties	male		vi		bonafide
LA_00001	00089.flac	Nhưng xen lẫn vào đó	2	0	sixties	male		vi		bonafide
LA_00001	00090.flac	thật đấy bác ạ	2	0	sixties	male		vi		bonafide
LA_00001	00091.flac	Tốn rất nhiều công sức cũng như là tiền bạc đấy	2	0	sixties	male		vi		bonafide
LA_00001	00092.flac	Từ bị giam ở Trung Quốc	2	0	sixties	male		vi		bonafide
LA_00001	00093.flac	phần nào chưa làm thì bôi màu vàng nhé	2	0	sixties	male		vi		bonafide
LA_00001	00094.flac	Hoạt động ở nước ngoài	2	0	sixties	male		vi		bonafide
LA_00001	00095.flac	Tư tưởng Hồ Chí Minh	2	0	sixties	male		vi		bonafide
LA_00001	00096.flac	Cuối cùng bố bảo đi không may mắn	2	0	sixties	male		vi		bonafide
LA_00001	00097.flac	chứ tại cả đám đông như vậy	2	0	sixties	male		vi		bonafide
LA_00001	00098.flac	tay còn lại Phương kéo chăn chùm lên đầu	2	0	sixties	male		vi		bonafide
LA_00001	00099.flac	đêm qua con bé mơ thấy ác mộng	2	1	sixties	male		vi		bonafide
LA_00001	00100.flac	Bà nội của Thảo cũng mắng bố thảo	2	0	sixties	male		vi		bonafide
LA_00001	00101.flac	Hình như hiểu ý của mình anh ta nhẹ giọng	2	0	sixties	male		vi		bonafide
LA_00001	00102.flac	giởi thật, không ngờ được luôn đấy	2	0	sixties	male		vi		bonafide
